Vendor_Name,Service_Description,Price,Rating,Number_of_Ratings,Category,Techno_List,Techno_Main,Techno_Count,Is_Multi_Tech
UpWeb_Agency,"Je vais créer votre site web, vitrine WordPress optimisé SEO avec le thème Divi",328.63,5.0,141,Website Development,"['WordPress', 'Divi']",Multiple,2,True
Caroline_WordPress,"Je vais créer votre site web WordPress personnalisé pour une visibilité SEO sur internet, Divi ou Elementor",332.84,5.0,384,Website Development,"['WordPress', 'Divi', 'Elementor']",Multiple,3,True
Netcoaching,Je vais créer ou faire la refonte Premium de votre Site avec Elementor ou DIVI,42.13,5.0,10,Web Design,"['Divi', 'Elementor']",Multiple,2,True
EcomDev,Je vais créer votre site web optimisé SEO avec WordPress,328.63,5.0,83,Website Development,['WordPress'],WordPress,1,False
hbconsultant,"Je vais vous aider à développer votre site design, rapide et sécurisé",589.85,5.0,33,Other,['Unprecised'],Unprecised,1,False
gataka_web,Je vais créer un site internet professionnel avec WordPress,674.11,4.9,46,Website Development,['WordPress'],WordPress,1,False
Franki1607,"Je vais coder votre site professionnel avec html, css, js et php",164.31,5.0,32,Other,"['HTML', 'CSS', 'JavaScript', 'PHP']",Multiple,4,True
SolutionWeb,Je vais créer votre site web sur mesure optimisé SEO avec WordPress,164.31,5.0,281,Website Development,['WordPress'],WordPress,1,False
ConsultantWeb,Je vais créer un site web professionnel,417.11,5.0,43,Other,['Unprecised'],Unprecised,1,False
horizonplus,Je vais créer votre site web ou refondre votre internet  optimisé SEO avec WordPress,210.66,5.0,78,Website Development,['WordPress'],WordPress,1,False
Youcef_web,"Je vais créer votre site WordPress (vitrine, one page, blog)",12.64,5.0,276,Website Development,['WordPress'],WordPress,1,False
WebCH,Je vais réaliser votre vitrine web (pas de WordPress),151.68,5.0,53,Website Development,['Pas de WordPress'],Pas de WordPress,1,False
Sitee,Je vais créer votre site web sur mesure,84.26,5.0,69,Other,['Unprecised'],Unprecised,1,False
Martin_JS,Je vais faire la refonte de site WordPress,164.31,5.0,64,Website Development,['WordPress'],WordPress,1,False
WebflowFreelance,Je vais créer votre site vitrine professionnel avec Webflow,286.5,5.0,75,Other,['Webflow'],Webflow,1,False
Webdesignerpro,Je vais créer un site internet professionnel complet,417.08,5.0,167,Other,['Unprecised'],Unprecised,1,False
IvanR,Je vais créer votre site web sur mesure avec WordPress - Wix - Drupal,101.12,5.0,43,Website Development,"['WordPress', 'Wix', 'Drupal']",Multiple,3,True
EmericKA,Je vais créer votre site vitrine / blog / e-commerce WordPress sur mesure,252.78,5.0,79,Website Development,['WordPress'],WordPress,1,False
kategriss,Je vais créer un site web clé en main avec Divi,248.58,4.9,90,Web Design,['Divi'],Divi,1,False
Franki1607,Je vais créer votre site web wordpress professionnel et SEO friendly,160.1,5.0,18,SEO Optimization,['WordPress'],WordPress,1,False
EcomDev,Je vais créer votre site web optimisé SEO avec Wix,328.63,5.0,104,SEO Optimization,['Wix'],Wix,1,False
meta_web,Je vais réaliser votre site vitrine / site web sur-mesure avec WordPress,84.26,5.0,118,Website Development,['WordPress'],WordPress,1,False
kadama,Je vais faire la création d'un site Wordpress,126.39,5.0,22,Other,['WordPress'],WordPress,1,False
ThomasHamard,"Je vais développer votre SaaS avec NextJS, Supabase et Stripe / LemonSqueezy",501.34,5.0,3,Other,['NextJs'],NextJs,1,False
Caramande,Je vais créer votre site internet commerçant ou artisan,484.49,5.0,26,Other,['Unprecised'],Unprecised,1,False
Yuuc,Je vais créer un site WordPress sur mesure,168.52,5.0,58,Website Development,['WordPress'],WordPress,1,False
_maxdev,Je vais créer votre site web avec NextJS,84.26,5.0,3,Other,['NextJs'],NextJs,1,False
Caramande,Je vais réaliser votre site professionnel WordPress,21.06,5.0,57,Website Development,['WordPress'],WordPress,1,False
DJones_Marketpro,Je vais faire la création optimisé SEO de votre site web WordPress professionnel,210.66,5.0,23,Website Development,['WordPress'],WordPress,1,False
PRESTA_PLUX,Je vais créer votre site web WordPress optimisé SEO,311.78,5.0,5,Website Development,['WordPress'],WordPress,1,False
ThibaudSa,Je vais créer votre site Internet WordPress professionnel DIVI,210.65,5.0,59,Website Development,"['WordPress', 'Divi']",Multiple,2,True
DIVI_EXPERT,Je vais créer votre site internet Wordpress avec Divi / Elementor,581.39,5.0,297,Web Design,"['WordPress', 'Divi', 'Elementor']",Multiple,3,True
WebLab,Je vais créer votre site web WordPress premium,303.35,5.0,13,Website Development,['WordPress'],WordPress,1,False
