Vendor_Name,Service_Description,Price,Rating,Number_of_Ratings,Category,Techno_List,Techno_Main,Techno_Count,Is_Multi_Tech
Jerome_webdesign,Je vais créer votre site sous Wordpress,140.0,5.0,171,Website Development,['WordPress'],WordPress,1,False
UpWeb_Agency,"Je vais créer votre site web, vitrine WordPress optimisé SEO avec le thème Divi",390.0,5.0,142,SEO Optimization,"['WordPress', 'Divi']",Multiple,2,True
Caroline_WordPress,"Je vais créer votre site web WordPress personnalisé pour une visibilité SEO sur internet, Divi ou Elementor",395.0,5.0,385,SEO Optimization,"['WordPress', 'Divi', 'Elementor']",Multiple,3,True
Netcoaching,Je vais créer ou faire la refonte Premium de votre Site avec Elementor ou DIVI,50.0,5.0,10,Website Redesign,"['Divi', 'Elementor']",Multiple,2,True
Monark_Studio,"Je vais créer votre site de conciergerie Airbnb, pensé pour convertir vos visiteurs en clients",490.0,0.0,0,Booking/Reservation,['Unprecised'],Unprecised,1,False
EcomDev,Je vais créer votre site web optimisé SEO avec WordPress,390.0,5.0,83,SEO Optimization,['WordPress'],WordPress,1,False
hbconsultant,"Je vais vous aider à développer votre site design, rapide et sécurisé",700.0,5.0,33,Website Development,['Unprecised'],Unprecised,1,False
IvanR,Je vais créer votre site web sur mesure avec WordPress - Wix - Drupal,120.0,5.0,43,Website Development,"['WordPress', 'Wix', 'Drupal']",Multiple,3,True
gataka_web,Je vais créer un site internet professionnel avec WordPress,800.0,4.9,46,Website Development,['WordPress'],WordPress,1,False
Franki1607,"Je vais coder votre site professionnel avec html, css, js et php",195.0,5.0,32,Website Development,"['HTML', 'CSS', 'JavaScript', 'PHP']",Multiple,4,True
SolutionWeb,Je vais créer votre site web sur mesure optimisé SEO avec WordPress,195.0,5.0,281,SEO Optimization,['WordPress'],WordPress,1,False
ConsultantWeb,Je vais créer un site web professionnel,495.0,5.0,43,Website Development,['Unprecised'],Unprecised,1,False
horizonplus,Je vais créer votre site web ou refondre votre internet  optimisé SEO avec WordPress,250.0,5.0,78,SEO Optimization,['WordPress'],WordPress,1,False
Youcef_web,"Je vais créer votre site WordPress (vitrine, one page, blog)",15.0,5.0,276,Blog/Content,['WordPress'],WordPress,1,False
